,Country,Year,AverageTemperature,AverageTemperatureUncertainty,Continent,ISO 3166-1 alpha-3,EmissionsTotal,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
0,Afghanistan,1950,13.0435,0.37825,Asia,AFG,0.084272,0.021068,0.063204,0.0,0.0,0.0,,0.011266
1,Albania,1950,13.812833333333332,0.4535833333333333,Europe,ALB,0.296725,0.043432,0.246114,0.0,0.00718,0.0,,0.236891
2,Algeria,1950,22.781833333333335,0.4143333333333334,Africa,DZA,3.783605,1.883296,1.7404,0.0,0.159909,0.0,,0.419475
3,Andorra,1950,11.812,0.3394166666666667,Europe,AND,0.0,,,,0.0,,,0.0
4,Angola,1950,21.571833333333334,0.4965,Africa,AGO,0.186864,0.059796,0.127068,0.0,0.0,0.0,,0.041728
5,Anguilla,1950,26.266416666666668,0.35966666666666663,North America,AIA,0.0,,,,,,,0.0
6,Antigua And Barbuda,1950,26.052333333333333,0.29641666666666666,North America,ATG,0.0,,,,,,,0.0
7,Argentina,1950,14.795083333333332,0.20166666666666666,South America,ARG,29.921193,3.561408,25.582048,0.0,0.777737,0.0,,1.758235
8,Armenia,1950,8.213000000000001,0.45050000000000007,Asia,ARM,1.481873,0.647122,0.747711,0.066644,0.020396,0.0,,1.069913
9,Aruba,1950,27.488500000000002,0.35225,North America,ABW,0.409579,0.0,0.409579,0.0,0.0,0.0,,10.556983
10,Australia,1950,21.322916666666668,0.18358333333333332,,AUS,54.738653,44.070592,10.035696,0.0,0.632365,0.0,,6.694085
11,Austria,1950,7.03575,0.28858333333333336,Europe,AUT,20.894256,17.382016,1.949248,0.926992,0.636,0.0,,3.012245
12,Azerbaijan,1950,10.891333333333334,0.44,Asia,AZE,8.951966,0.470211,7.532281,0.908303,0.04117,0.0,,2.833828
13,Bahamas,1950,25.00016666666667,0.4294166666666666,North America,BHS,0.05496,0.0,0.05496,0.0,0.0,0.0,,0.673166
14,Bahrain,1950,25.438000000000002,0.57925,Asia,BHR,1.381328,0.0,1.381328,0.0,0.0,0.0,,11.791206
15,Bangladesh,1950,25.020333333333337,0.25,Asia,BGD,0.993068,0.498308,0.492945,0.0,0.001815,0.0,,0.024996
16,Barbados,1950,26.181250000000002,0.2585,North America,BRB,0.07328,0.003664,0.065952,0.003664,0.0,0.0,,0.348044
17,Belarus,1950,6.231916666666667,0.2906666666666667,Europe,BLR,18.850284,5.975585,12.436054,0.320428,0.118216,0.0,,2.384042
18,Belgium,1950,9.829166666666666,0.23933333333333331,Europe,BEL,76.200482,68.194368,6.239792,0.007328,1.758994,0.0,,8.842688
19,Belize,1950,24.783,0.5665833333333333,North America,BLZ,0.01832,0.0,0.01832,0.0,0.0,0.0,,0.265062
20,Benin,1950,27.16175,0.316,Africa,BEN,0.0,,,,,,,0.0
21,Bhutan,1950,11.966416666666667,0.3775833333333333,Asia,BTN,0.0,,,,,,,0.0
22,Bolivia,1950,20.845166666666668,0.48625,South America,BOL,0.494493,0.003637,0.472818,0.0,0.018038,0.0,,0.160038
23,"Bonaire, Saint Eustatius And Saba",1950,26.759333333333334,0.3020833333333333,North America,BES,0.088248,0.0,0.088248,0.0,0.0,0.0,,12.626747
24,Bosnia And Herzegovina,1950,11.704,0.4819166666666667,Europe,BIH,2.663495,2.564294,0.081952,0.003634,0.013615,0.0,,0.989078
25,Botswana,1950,22.124166666666667,0.49849999999999994,Africa,BWA,0.0,,,,,,,0.0
26,Brazil,1950,24.639,0.32533333333333336,South America,BRA,19.659072,6.382688,12.578512,0.003664,0.68688,0.007328,,0.364358
27,British Virgin Islands,1950,25.997333333333334,0.2664166666666667,North America,VGB,0.0,,,,,,,0.0
28,Bulgaria,1950,11.46475,0.4404166666666667,Europe,BGR,7.49777,6.657076,0.542537,0.0,0.298157,0.0,,1.047521
29,Burkina Faso,1950,27.77175,0.29550000000000004,Africa,BFA,0.0,,,,,,,0.0
30,Burundi,1950,20.043,0.3740833333333333,Africa,BDI,0.008794,0.001099,0.007694,0.0,0.0,0.0,,0.003901
31,Cambodia,1950,26.78925,0.3365833333333333,Asia,KHM,0.0,,,,0.0,,,0.0
32,Cameroon,1950,24.43275,0.3109166666666667,Africa,CMR,0.139232,0.02142,0.117812,0.0,0.0,0.0,,0.032261
33,Canada,1950,-5.952916666666667,0.2980833333333333,North America,CAN,154.133752,96.819837,52.447743,3.554164,1.312008,0.0,,11.215381
34,Cape Verde,1950,24.341333333333335,0.4119166666666667,Africa,CPV,0.102592,0.095517,0.007075,0.0,0.0,0.0,,0.554554
35,Central African Republic,1950,25.25191666666667,0.4419166666666667,Africa,CAF,0.0,,,,,,,0.0
36,Chad,1950,26.593083333333336,0.5901666666666666,Africa,TCD,0.0,,,,,,,0.0
37,Chile,1950,9.292,0.325,South America,CHL,8.450768,4.748544,3.447824,0.0,0.2544,0.0,,1.275849
38,China,1950,6.641166666666667,0.247,Asia,CHN,78.835287,77.614512,0.619216,0.014656,0.586903,0.0,,0.144923
39,Christmas Island,1950,25.824833333333334,0.49333333333333335,Oceania,CXR,0.0,,,,,,,0.0
40,Colombia,1950,24.425833333333333,0.3760833333333333,South America,COL,7.49792,2.594112,4.623968,0.0,0.27984,0.0,,0.63705
41,Comoros,1950,25.62566666666667,0.3405,Africa,COM,0.0,,,,,,,0.0
42,Congo,1950,24.69741666666667,0.34500000000000003,Africa,COG,0.0,,,,,,,0.0
44,Costa Rica,1950,25.368583333333333,0.5003333333333333,North America,CRI,0.285792,0.0,0.285792,0.0,0.0,0.0,,0.301314
45,Croatia,1950,12.430083333333334,0.36483333333333334,Europe,HRV,2.870337,0.976487,1.349642,0.064519,0.479689,0.0,,0.742708
46,Cuba,1950,25.144000000000002,0.35675000000000007,North America,CUB,5.604643,0.128156,5.320315,0.0,0.156172,0.0,,0.945669
47,Curaçao,1950,26.920333333333335,0.34299999999999997,,CUW,6.112156,0.0,6.112156,0.0,0.0,0.0,,61.08064
48,Cyprus,1950,18.796333333333333,0.3035833333333333,Asia,CYP,0.267472,0.003715,0.263757,0.0,0.0,0.0,,0.54149
